City;Region;Population;Latitude;Longitude
Paris;Ile-de-France;2,138,551;48.853;2.349
Marseille;Provence-Alpes-Cote d'Azur;794,811;43.297;5.381
Lyon;Rhone-Alpes;472,317;45.748;4.847
Toulouse;Midi-Pyrenees;433,055;43.604;1.444
Nice;Provence-Alpes-Cote d'Azur;338,62;43.703;7.266
Nantes;Pays de la Loire;277,269;47.217;-1.553
Strasbourg;Alsace;274,845;48.584;7.746
Montpellier;Languedoc-Roussillon;248,252;43.611;3.877
Bordeaux;Aquitaine;231,844;44.84;-0.581
Lille;Nord-Pas-de-Calais;228,328;50.633;3.059
